,activity,end_time,exam_1_exercise_score,exam_2_exercise_score,exercise,idle_time,intermediate_grade,keystroke,mouse_click_left,mouse_click_right,mouse_movement,mouse_wheel,mouse_wheel_click,session_id,start_time,student_id
72,Deeds_Es_5_1,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=20, tm_sec=13, tm_wday=3, tm_yday=324, tm_isdst=-1)",2.0,,Es_5_1,0,4.0,0,0,0,70,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=20, tm_sec=13, tm_wday=3, tm_yday=324, tm_isdst=-1)",13
73,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=55, tm_sec=47, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_3,32,3.0,0,4,0,164,19,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=55, tm_sec=45, tm_wday=3, tm_yday=345, tm_isdst=-1)",13
74,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=19, tm_sec=3, tm_wday=3, tm_yday=275, tm_isdst=-1)",,3.0,Es_1_2,812,n/a,0,2,0,211,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=18, tm_sec=59, tm_wday=3, tm_yday=275, tm_isdst=-1)",14
75,TextEditor_Es_2_6,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=11, tm_min=51, tm_sec=4, tm_wday=3, tm_yday=289, tm_isdst=-1)",,n/a,Es_2_6,95538,6.0,0,0,0,203,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=11, tm_min=50, tm_sec=45, tm_wday=3, tm_yday=289, tm_isdst=-1)",14
76,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=11, tm_min=50, tm_sec=19, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_4,532,4.0,0,2,0,239,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=11, tm_min=50, tm_sec=16, tm_wday=3, tm_yday=296, tm_isdst=-1)",14
77,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=27, tm_sec=5, tm_wday=3, tm_yday=317, tm_isdst=-1)",,3.0,Es_4_1,0,5.0,0,2,0,12,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=27, tm_sec=5, tm_wday=3, tm_yday=317, tm_isdst=-1)",14
78,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=11, tm_min=36, tm_sec=15, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,0,4.0,0,1,0,75,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=11, tm_min=36, tm_sec=15, tm_wday=3, tm_yday=324, tm_isdst=-1)",14
79,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=56, tm_sec=48, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_4,79,2.75,0,2,0,148,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=56, tm_sec=47, tm_wday=3, tm_yday=345, tm_isdst=-1)",14
80,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=3, tm_sec=44, tm_wday=3, tm_yday=275, tm_isdst=-1)",2.0,,Es_1_1,484,n/a,0,2,0,91,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=3, tm_sec=43, tm_wday=3, tm_yday=275, tm_isdst=-1)",15
81,Study_Es_2_5,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=0, tm_sec=16, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,,Es_2_5,0,2.0,0,0,0,63,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=0, tm_sec=16, tm_wday=3, tm_yday=289, tm_isdst=-1)",15
82,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=49, tm_sec=32, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_4,16,4.0,0,4,0,165,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=49, tm_sec=31, tm_wday=3, tm_yday=296, tm_isdst=-1)",15
83,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=4, tm_sec=21, tm_wday=3, tm_yday=317, tm_isdst=-1)",15.0,,Es_4_1,12432428,5.0,0,0,0,561,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=1, tm_sec=33, tm_wday=3, tm_yday=317, tm_isdst=-1)",15
84,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=13, tm_sec=54, tm_wday=3, tm_yday=324, tm_isdst=-1)",1.5,,Es_5_3,339403,4.0,0,10,0,387,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=13, tm_sec=25, tm_wday=3, tm_yday=324, tm_isdst=-1)",15
85,Blank,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=50, tm_sec=46, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_3,32,2.0,0,9,0,377,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=50, tm_sec=43, tm_wday=3, tm_yday=345, tm_isdst=-1)",15
86,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=53, tm_sec=51, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,,Es_2_4,156,3.0,0,0,0,0,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=53, tm_sec=49, tm_wday=3, tm_yday=289, tm_isdst=-1)",16
87,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=47, tm_sec=49, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_3,18767,2.5,66,8,2,266,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=47, tm_sec=30, tm_wday=3, tm_yday=296, tm_isdst=-1)",16
88,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=4, tm_sec=45, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,,Es_4_5,47,5.0,0,1,0,59,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=4, tm_sec=44, tm_wday=3, tm_yday=317, tm_isdst=-1)",16
89,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=17, tm_sec=48, tm_wday=3, tm_yday=324, tm_isdst=-1)",3.0,,Es_5_3,438,4.0,0,2,0,143,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=17, tm_sec=45, tm_wday=3, tm_yday=324, tm_isdst=-1)",16
90,TextEditor_Es_6_3,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=50, tm_sec=19, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_3,0,2.0,0,5,0,138,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=50, tm_sec=17, tm_wday=3, tm_yday=345, tm_isdst=-1)",16
91,Deeds_Es_1_3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=12, tm_sec=50, tm_wday=3, tm_yday=275, tm_isdst=-1)",n/a,,Es_1_3,0,n/a,0,2,0,30,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=12, tm_sec=50, tm_wday=3, tm_yday=275, tm_isdst=-1)",17
92,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=1, tm_sec=14, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,,Es_2_5,280,3.5,0,0,0,0,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=1, tm_sec=12, tm_wday=3, tm_yday=289, tm_isdst=-1)",17
93,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=55, tm_sec=24, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_4,32,3.5,0,0,0,0,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=55, tm_sec=22, tm_wday=3, tm_yday=296, tm_isdst=-1)",17
94,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=11, tm_min=41, tm_sec=47, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,,Es_4_4,0,5.0,0,2,0,80,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=11, tm_min=41, tm_sec=47, tm_wday=3, tm_yday=317, tm_isdst=-1)",17
95,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=5, tm_sec=37, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,,Es_5_4,0,4.0,0,0,0,0,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=5, tm_sec=35, tm_wday=3, tm_yday=324, tm_isdst=-1)",17
96,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=55, tm_sec=10, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_4,15,4.0,0,2,0,162,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=55, tm_sec=9, tm_wday=3, tm_yday=345, tm_isdst=-1)",17
97,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=58, tm_sec=35, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,,Es_2_6,0,5.0,0,1,0,49,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=58, tm_sec=35, tm_wday=3, tm_yday=289, tm_isdst=-1)",18
98,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=5, tm_sec=41, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_4,16,4.0,0,2,0,54,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=5, tm_sec=40, tm_wday=3, tm_yday=296, tm_isdst=-1)",18
99,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=48, tm_sec=24, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,,Es_4_4,360,4.5,0,1,2,174,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=48, tm_sec=20, tm_wday=3, tm_yday=317, tm_isdst=-1)",18
100,Study_Es_5_4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=19, tm_sec=20, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,,Es_5_4,0,4.0,0,1,0,108,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=19, tm_sec=20, tm_wday=3, tm_yday=324, tm_isdst=-1)",18
101,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=9, tm_sec=29, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_4,16,3.0,0,2,0,270,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=9, tm_sec=22, tm_wday=3, tm_yday=345, tm_isdst=-1)",18
102,Properties,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=10, tm_sec=26, tm_wday=3, tm_yday=275, tm_isdst=-1)",,2.0,Es_1_1,32,n/a,0,2,0,71,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=10, tm_sec=24, tm_wday=3, tm_yday=275, tm_isdst=-1)",19
103,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=25, tm_sec=47, tm_wday=3, tm_yday=289, tm_isdst=-1)",,n/a,Es_2_6,0,4.0,0,2,0,74,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=25, tm_sec=47, tm_wday=3, tm_yday=289, tm_isdst=-1)",19
104,TextEditor_Es_3_2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=15, tm_sec=22, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_2,217,2.0,0,4,0,477,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=15, tm_sec=16, tm_wday=3, tm_yday=296, tm_isdst=-1)",19
105,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=36, tm_sec=40, tm_wday=3, tm_yday=317, tm_isdst=-1)",,15.0,Es_4_1,546,4.5,0,10,0,436,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=36, tm_sec=34, tm_wday=3, tm_yday=317, tm_isdst=-1)",19
106,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=44, tm_sec=0, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,0,4.0,0,2,0,23,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=44, tm_sec=0, tm_wday=3, tm_yday=324, tm_isdst=-1)",19
107,Blank,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=3, tm_sec=56, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_3,27952,1.5,0,0,0,0,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=1, tm_sec=22, tm_wday=3, tm_yday=345, tm_isdst=-1)",19
108,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=32, tm_sec=28, tm_wday=3, tm_yday=275, tm_isdst=-1)",n/a,n/a,Es_1_4,62,n/a,0,1,0,94,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=32, tm_sec=26, tm_wday=3, tm_yday=275, tm_isdst=-1)",20
109,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=1, tm_sec=11, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,n/a,Es_2_4,846,3.0,0,4,0,179,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=1, tm_sec=5, tm_wday=3, tm_yday=289, tm_isdst=-1)",20
110,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=59, tm_sec=38, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,2.0,Es_3_4,252304,3.0,66,10,0,220,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=59, tm_sec=6, tm_wday=3, tm_yday=296, tm_isdst=-1)",20
111,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=33, tm_sec=50, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,n/a,Es_4_5,0,4.5,0,4,0,95,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=33, tm_sec=50, tm_wday=3, tm_yday=317, tm_isdst=-1)",20
112,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=7, tm_sec=53, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,n/a,Es_5_4,112,3.5,0,20,0,385,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=7, tm_sec=48, tm_wday=3, tm_yday=324, tm_isdst=-1)",20
113,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=14, tm_sec=57, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,n/a,Es_6_3,810,2.0,0,8,2,464,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=14, tm_sec=43, tm_wday=3, tm_yday=345, tm_isdst=-1)",20
114,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=13, tm_sec=23, tm_wday=3, tm_yday=275, tm_isdst=-1)",,,Es_1_2,0,n/a,0,0,2,40,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=13, tm_sec=22, tm_wday=3, tm_yday=275, tm_isdst=-1)",21
115,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=22, tm_sec=1, tm_wday=3, tm_yday=289, tm_isdst=-1)",,,Es_2_5,0,5.0,0,1,0,119,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=22, tm_sec=1, tm_wday=3, tm_yday=289, tm_isdst=-1)",21
116,,,,,,,0.0,,,,,,,3,,21
117,Deeds_Es_4_5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=13, tm_min=6, tm_sec=7, tm_wday=3, tm_yday=317, tm_isdst=-1)",,,Es_4_5,0,3.5,0,2,0,61,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=13, tm_min=6, tm_sec=6, tm_wday=3, tm_yday=317, tm_isdst=-1)",21
118,,,,,,,0.0,,,,,,,5,,21
119,,,,,,,0.0,,,,,,,6,,21
120,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=6, tm_sec=24, tm_wday=3, tm_yday=275, tm_isdst=-1)",,n/a,Es_1_3,168952,n/a,0,2,0,30,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=6, tm_sec=4, tm_wday=3, tm_yday=275, tm_isdst=-1)",22
121,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=5, tm_sec=50, tm_wday=3, tm_yday=289, tm_isdst=-1)",,n/a,Es_2_6,0,4.5,0,2,0,105,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=5, tm_sec=48, tm_wday=3, tm_yday=289, tm_isdst=-1)",22
122,,,,,,,0.0,,,,,,,3,,22
123,Study_Es_4_5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=1, tm_sec=22, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_5,0,4.0,0,2,0,33,5,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=1, tm_sec=22, tm_wday=3, tm_yday=317, tm_isdst=-1)",22
124,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=57, tm_sec=54, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,0,4.0,0,2,0,36,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=57, tm_sec=54, tm_wday=3, tm_yday=324, tm_isdst=-1)",22
125,,,,,,,0.0,,,,,,,6,,22
126,,,,,,,0.0,,,,,,,2,,23
127,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=49, tm_sec=44, tm_wday=3, tm_yday=296, tm_isdst=-1)",,,Es_3_3,2020349,1.5,0,2,0,565,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=48, tm_sec=33, tm_wday=3, tm_yday=296, tm_isdst=-1)",23
128,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=34, tm_sec=29, tm_wday=3, tm_yday=317, tm_isdst=-1)",,,Es_4_5,5252,4.0,0,2,0,217,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=34, tm_sec=24, tm_wday=3, tm_yday=317, tm_isdst=-1)",23
129,TextEditor_Es_5_4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=51, tm_sec=52, tm_wday=3, tm_yday=324, tm_isdst=-1)",,,Es_5_4,2031,3.5,0,0,0,45,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=51, tm_sec=49, tm_wday=3, tm_yday=324, tm_isdst=-1)",23
130,,,,,,,0.0,,,,,,,6,,23
131,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=10, tm_sec=28, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,n/a,Es_2_4,2094,2.5,0,4,0,75,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=10, tm_sec=25, tm_wday=3, tm_yday=289, tm_isdst=-1)",24
132,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=22, tm_sec=1, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,2.0,Es_3_3,46,2.0,0,7,0,298,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=21, tm_sec=58, tm_wday=3, tm_yday=296, tm_isdst=-1)",24
133,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=23, tm_sec=24, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,n/a,Es_4_5,1079,4.5,0,4,0,446,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=23, tm_sec=20, tm_wday=3, tm_yday=317, tm_isdst=-1)",24
134,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=4, tm_sec=1, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,n/a,Es_5_4,0,3.5,0,1,0,104,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=4, tm_sec=1, tm_wday=3, tm_yday=324, tm_isdst=-1)",24
135,Blank,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=47, tm_sec=24, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,n/a,Es_6_4,0,3.0,0,2,0,60,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=47, tm_sec=24, tm_wday=3, tm_yday=345, tm_isdst=-1)",24
136,,,,,,,0.0,,,,,,,2,,25
137,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=19, tm_sec=27, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_2,4201,1.5,0,4,0,193,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=19, tm_sec=23, tm_wday=3, tm_yday=296, tm_isdst=-1)",25
138,TextEditor_Es_4_3,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=42, tm_sec=44, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_3,0,4.5,0,2,0,67,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=42, tm_sec=44, tm_wday=3, tm_yday=317, tm_isdst=-1)",25
139,,,,,,,4.0,,,,,,,5,,25
140,Blank,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=23, tm_sec=34, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_3,0,2.25,0,1,0,79,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=23, tm_sec=33, tm_wday=3, tm_yday=345, tm_isdst=-1)",25
141,,,,,,,0.0,,,,,,,2,,26
142,,,,,,,0.0,,,,,,,3,,26
143,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=45, tm_sec=3, tm_wday=3, tm_yday=317, tm_isdst=-1)",,,Es_4_1,146833347,4.0,4,2,0,205,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=35, tm_sec=45, tm_wday=3, tm_yday=317, tm_isdst=-1)",26
144,,,,,,,0.0,,,,,,,5,,26
145,,,,,,,0.0,,,,,,,6,,26
146,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=15, tm_min=3, tm_sec=29, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,,Es_2_4,0,0.0,0,2,0,64,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=15, tm_min=3, tm_sec=29, tm_wday=3, tm_yday=289, tm_isdst=-1)",27
147,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=48, tm_sec=43, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_4,312,3.0,0,4,0,66,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=48, tm_sec=41, tm_wday=3, tm_yday=296, tm_isdst=-1)",27
148,Study_Es_4_5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=11, tm_min=50, tm_sec=0, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,,Es_4_5,0,4.5,0,2,0,47,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=11, tm_min=50, tm_sec=0, tm_wday=3, tm_yday=317, tm_isdst=-1)",27
149,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=45, tm_sec=55, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,,Es_5_4,0,4.0,0,4,0,130,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=45, tm_sec=53, tm_wday=3, tm_yday=324, tm_isdst=-1)",27
150,Blank,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=57, tm_sec=1, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_3,935,1.75,0,4,0,205,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=56, tm_sec=57, tm_wday=3, tm_yday=345, tm_isdst=-1)",27
